retina,id,i,j,unit_num,ntrials,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 6)_1",0,6,1,18,0,0,0,0,0,0,0,0,0,0,14,53,22,22,16,11,25,8,1,0,0,0,0,0,0,0,10,3,0,0,0,1,0,0,1.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 5)_0",1,5,0,18,0,0,2,1,0,4,1,0,2,0,46,118,52,28,9,14,194,67,13,9,4,2,1,0,0,2,1,0,0,0,0,0,0,2,1.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 5)_1",1,5,1,18,0,0,0,0,0,0,0,0,0,0,10,10,1,5,3,2,22,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 5)_2",1,5,2,18,0,0,0,0,0,0,0,0,0,0,35,80,20,11,6,9,103,34,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 5)_3",1,5,3,18,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(1, 5)_4",1,5,4,18,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 5)_4",0,5,4,18,1,2,0,3,0,2,1,0,2,2,0,0,0,0,0,30,146,49,9,2,3,2,1,3,1,0,1,2,1,1,0,0,0,0,2.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 5)_0",0,5,0,18,18,21,8,24,16,14,21,17,16,20,9,2,3,1,0,3,93,69,50,52,34,42,24,19,22,22,22,20,15,17,4,29,13,18,17.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 5)_3",0,5,3,18,0,1,0,0,0,1,0,0,0,1,0,14,1,0,0,3,57,15,5,2,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 5)_2",0,5,2,18,0,0,0,0,0,0,0,0,0,0,29,76,27,11,4,6,56,27,19,22,17,7,6,0,2,1,0,0,0,0,0,1,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(0, 5)_1",0,5,1,18,0,1,0,0,0,0,0,0,0,1,12,47,21,9,1,8,100,46,10,11,7,3,2,1,2,0,1,0,0,1,0,1,2,3,1.0
